start_time,end_time,state,confidence,latitude,longitude,duration,tower_jump,same_time_diff_state,cell_types,location_score,velocity,distance,vehicle_type,is_location_change_possible,conflict_resolution,discarded_state,resolved_by
01/03/22 15:48,01/03/22 15:48,New York,100,40.85628,-73.52271,0.0,True,SAME_TIME_DIFF_STATE,sms,50,0.00 km/h,,UNKNOWN,False,LOCATION_CHANGE_IMPOSSIBLE,UNKNOWN,TOWER_JUMP_DETECTION
01/03/22 15:49,01/03/22 15:49,New York,100,40.85628,-73.52271,1.0,True,DIFF_TIME_DIFF_STATE,sms,100,0.00 km/h,,UNKNOWN,False,LOCATION_CHANGE_IMPOSSIBLE,UNKNOWN,TOWER_JUMP_DETECTION
01/03/22 15:49,01/03/22 15:49,New York,100,40.85628,-73.52271,0,True,False,voice,50,0.00 km/h,,UNKNOWN,False,NO_CONFLICT,,
01/03/22 15:55,01/03/22 15:55,Connecticut,100,41.07239,-73.47818,6.0,True,DIFF_TIME_DIFF_STATE,voice,100,52914.90 km/h,,UNKNOWN,False,HIGH_VELOCITY,New York,TOWER_JUMP_DETECTION
01/03/22 15:55,01/03/22 15:55,Connecticut,100,41.07239,-73.47818,0,True,False,sms,50,0.00 km/h,,UNKNOWN,False,NO_CONFLICT,,
01/03/22 18:57,01/03/22 18:57,Connecticut,100,41.14646,-73.49169,182.0,True,DIFF_TIME_SAME_STATE,voice,100,4703848.62 km/h,,UNKNOWN,False,HIGH_VELOCITY,Connecticut,TOWER_JUMP_DETECTION
01/03/22 18:59,01/03/22 18:59,UNKNOWN,100,,,0,False,False,sms,0,0.00 km/h,,UNKNOWN,False,NO_CONFLICT,,
01/03/22 18:59,01/03/22 18:59,UNKNOWN,100,,,0,False,False,sms,0,0.00 km/h,,UNKNOWN,False,NO_CONFLICT,,
01/03/22 19:00,01/03/22 19:00,UNKNOWN,100,,,0,False,False,sms,0,0.00 km/h,,UNKNOWN,False,NO_CONFLICT,,
01/03/22 19:00,01/03/22 19:00,UNKNOWN,100,,,0,False,False,sms,0,0.00 km/h,,UNKNOWN,False,NO_CONFLICT,,
01/03/22 19:25,01/03/22 19:25,UNKNOWN,100,,,0,False,False,sms,0,0.00 km/h,,UNKNOWN,False,NO_CONFLICT,,
01/03/22 18:57,01/03/22 18:57,Connecticut,100,41.14646,-73.49169,0,True,False,sms,50,0.00 km/h,,UNKNOWN,False,NO_CONFLICT,,
01/03/22 20:35,01/03/22 20:35,New York,100,40.78268,-73.95737,98.0,True,DIFF_TIME_DIFF_STATE,voice,50,322718.32 km/h,,UNKNOWN,False,HIGH_VELOCITY,Connecticut,TOWER_JUMP_DETECTION
01/03/22 20:42,01/03/22 20:42,New York,100,40.78185,-73.96009,7.0,True,DIFF_TIME_DIFF_STATE,voice,50,4789906.50 km/h,,UNKNOWN,False,HIGH_VELOCITY,UNKNOWN,TOWER_JUMP_DETECTION
01/03/22 21:02,01/03/22 21:02,New York,100,40.76633,-73.96911,20.0,True,DIFF_TIME_DIFF_STATE,voice,100,2168089.69 km/h,,UNKNOWN,False,HIGH_VELOCITY,UNKNOWN,TOWER_JUMP_DETECTION
01/03/22 21:02,01/03/22 21:02,New York,100,40.76633,-73.96911,0,True,False,voice,50,0.00 km/h,,UNKNOWN,False,NO_CONFLICT,,
01/03/22 21:05,01/03/22 21:05,New York,100,40.77152,-73.9646,3.0,True,DIFF_TIME_SAME_STATE,voice,50,849045.07 km/h,,UNKNOWN,False,HIGH_VELOCITY,New York,TOWER_JUMP_DETECTION
01/03/22 21:12,01/03/22 21:12,New York,100,40.78926,-73.97448,7.0,True,DIFF_TIME_DIFF_STATE,sms,50,670827.04 km/h,,UNKNOWN,False,HIGH_VELOCITY,UNKNOWN,TOWER_JUMP_DETECTION
01/03/22 21:18,01/03/22 21:18,New York,100,40.79427,-73.97438,6.0,True,DIFF_TIME_DIFF_STATE,voice,50,2330010.09 km/h,,UNKNOWN,False,HIGH_VELOCITY,UNKNOWN,TOWER_JUMP_DETECTION
01/03/22 21:18,01/03/22 21:18,New York,100,40.79427,-73.97438,0.0,True,SAME_TIME_DIFF_STATE,sms,50,0.00 km/h,,UNKNOWN,False,LOCATION_CHANGE_IMPOSSIBLE,UNKNOWN,TOWER_JUMP_DETECTION
01/03/22 22:24,01/03/22 22:24,Connecticut,100,41.17286,-73.49633,66.0,True,DIFF_TIME_DIFF_STATE,voice,100,210612.28 km/h,,UNKNOWN,False,HIGH_VELOCITY,UNKNOWN,TOWER_JUMP_DETECTION
